TIME,measurement_type,measurement_value
08:55:00,,
08:55:01,,
08:55:02,HeartRate,110.98
08:55:03,,
08:55:04,,
08:55:05,,
08:55:06,temperature,38.25
08:55:07,,
08:55:08,,
08:55:09,,
08:55:10,,
08:55:11,,
08:55:12,,
08:55:13,,
08:55:14,,
08:55:15,HeartRate,89.76
08:55:16,,
08:55:17,,
08:55:18,,
08:55:19,,
08:55:20,,
08:55:21,,
08:55:22,,
08:55:23,,
08:55:24,,
08:55:25,,
08:55:26,,
08:55:27,temperature,41.14
08:55:28,,
08:55:29,temperature,41.14
08:55:30,,
08:55:31,,
08:55:32,,
08:55:33,,
08:55:34,,
08:55:35,,
08:55:36,SpO2,96.5
08:55:37,,
08:55:38,,
08:55:39,temperature,35.39
08:55:40,,
08:55:41,,
08:55:42,,
08:55:43,,
08:55:44,,
08:55:45,,
08:55:46,,
08:55:47,,
08:55:48,,
08:55:49,,
08:55:50,,
08:55:51,,
08:55:52,,
08:55:53,,
08:55:54,,
08:55:55,,
08:55:56,,
08:55:57,,
08:55:58,,
08:55:59,,
08:56:00,,
08:56:01,HeartRate,73.04
08:56:02,HeartRate,48.28
08:56:03,,
08:56:04,,
08:56:05,,
08:56:06,,
08:56:07,,
08:56:08,,
08:56:09,temperature,37.12
08:56:10,,
08:56:11,,
08:56:12,,
08:56:13,,
08:56:14,,
08:56:15,,
08:56:16,,
08:56:17,,
08:56:18,,
08:56:19,,
08:56:20,,
08:56:21,,
08:56:22,,
08:56:23,,
08:56:24,SpO2,95.25
08:56:25,,
08:56:26,,
08:56:27,,
08:56:28,,
08:56:29,,
08:56:30,SpO2,95.81
08:56:31,temperature,40.08
08:56:32,SpO2,95.45
08:56:33,,
08:56:34,temperature,35.24
08:56:35,,
08:56:36,SpO2,93.26
08:56:37,,
08:56:38,,
08:56:39,,
08:56:40,,
08:56:41,,
08:56:42,,
08:56:43,,
08:56:44,SpO2,93.22
08:56:45,,
08:56:46,,
08:56:47,,
08:56:48,HeartRate,53.3
08:56:49,,
08:56:50,HeartRate,83.93
08:56:51,,
08:56:52,SpO2,97.9
08:56:53,,
08:56:54,HeartRate,113.92
08:56:55,SpO2,96.33
08:56:56,,
08:56:57,,
08:56:58,,
08:56:59,,
08:57:00,,
08:57:01,,
08:57:02,,
08:57:03,,
08:57:04,,
08:57:05,,
08:57:06,,
08:57:07,,
08:57:08,,
08:57:09,,
08:57:10,,
08:57:11,,
08:57:12,,
08:57:13,,
08:57:14,,
08:57:15,,
08:57:16,,
08:57:17,,
08:57:18,,
08:57:19,,
08:57:20,,
08:57:21,,
08:57:22,HeartRate,48.03
08:57:23,,
08:57:24,,
08:57:25,,
08:57:26,,
08:57:27,,
08:57:28,,
08:57:29,,
08:57:30,temperature,39.21
08:57:31,,
08:57:32,,
08:57:33,,
08:57:34,,
08:57:35,,
08:57:36,,
08:57:37,,
08:57:38,,
08:57:39,,
08:57:40,,
08:57:41,,
08:57:42,,
08:57:43,,
08:57:44,,
08:57:45,,
08:57:46,,
08:57:47,,
08:57:48,,
08:57:49,,
08:57:50,,
08:57:51,,
08:57:52,,
08:57:53,,
08:57:54,temperature,40.07
08:57:55,,
08:57:56,,
08:57:57,,
08:57:58,,
08:57:59,,
08:58:00,,
08:58:01,,
08:58:02,,
08:58:03,,
08:58:04,,
08:58:05,,
08:58:06,,
08:58:07,,
08:58:08,,
08:58:09,,
08:58:10,,
08:58:11,,
08:58:12,,
08:58:13,SpO2,92.9
08:58:14,,
08:58:15,,
08:58:16,,
08:58:17,HeartRate,100.55
08:58:18,,
08:58:19,,
08:58:20,,
08:58:21,,
08:58:22,,
08:58:23,,
08:58:24,,
08:58:25,,
08:58:26,,
08:58:27,SpO2,94.14
08:58:28,,
08:58:29,,
08:58:30,,
08:58:31,,
08:58:32,,
08:58:33,SpO2,95.4
08:58:34,,
08:58:35,HeartRate,62.51
08:58:36,,
08:58:37,,
08:58:38,,
08:58:39,,
08:58:40,,
08:58:41,,
08:58:42,,
08:58:43,,
08:58:44,,
08:58:45,,
08:58:46,temperature,35.98
08:58:47,,
08:58:48,,
08:58:49,,
08:58:50,,
08:58:51,,
08:58:52,,
08:58:53,,
08:58:54,,
08:58:55,HeartRate,53.03
08:58:56,,
08:58:57,,
08:58:58,,
08:58:59,,
08:59:00,,
08:59:01,,
08:59:02,,
08:59:03,,
08:59:04,temperature,39.6
08:59:05,SpO2,93.4
08:59:06,,
08:59:07,,
08:59:08,,
08:59:09,,
08:59:10,,
08:59:11,,
08:59:12,,
08:59:13,,
08:59:14,,
08:59:15,,
08:59:16,,
08:59:17,,
08:59:18,,
08:59:19,,
08:59:20,,
08:59:21,HeartRate,56.72
08:59:22,,
08:59:23,,
08:59:24,,
08:59:25,SpO2,95.34
08:59:26,SpO2,95.15
08:59:27,,
08:59:28,,
08:59:29,,
08:59:30,,
08:59:31,,
08:59:32,,
08:59:33,,
08:59:34,,
08:59:35,,
08:59:36,,
08:59:37,,
08:59:38,,
08:59:39,,
08:59:40,,
08:59:41,,
08:59:42,,
08:59:43,HeartRate,79.27
08:59:44,,
08:59:45,,
08:59:46,,
08:59:47,,
08:59:48,,
08:59:49,,
08:59:50,,
08:59:51,,
08:59:52,,
08:59:53,,
08:59:54,,
08:59:55,,
08:59:56,,
08:59:57,,
08:59:58,,
08:59:59,,
09:00:00,SpO2,95.18
