TIME,measurement_type,measurement_value
18:00:00,nan,
18:00:01,nan,
18:00:02,nan,
18:00:03,nan,
18:00:04,nan,
18:00:05,nan,
18:00:06,nan,
18:00:07,nan,
18:00:08,nan,
18:00:09,nan,
18:00:10,nan,
18:00:11,nan,
18:00:12,nan,
18:00:13,nan,
18:00:14,nan,
18:00:15,nan,
18:00:16,nan,
18:00:17,nan,
18:00:18,nan,
18:00:19,temperature,40.21
18:00:20,nan,
18:00:21,nan,
18:00:22,temperature,39.52
18:00:23,nan,
18:00:24,nan,
18:00:25,nan,
18:00:26,nan,
18:00:27,nan,
18:00:28,nan,
18:00:29,nan,
18:00:30,nan,
18:00:31,nan,
18:00:32,nan,
18:00:33,nan,
18:00:34,nan,
18:00:35,nan,
18:00:36,nan,
18:00:37,nan,
18:00:38,nan,
18:00:39,nan,
18:00:40,nan,
18:00:41,nan,
18:00:42,temperature,40.03
18:00:43,nan,
18:00:44,nan,
18:00:45,nan,
18:00:46,nan,
18:00:47,nan,
18:00:48,SpO2,96.82
18:00:49,nan,
18:00:50,nan,
18:00:51,nan,
18:00:52,nan,
18:00:53,nan,
18:00:54,nan,
18:00:55,nan,
18:00:56,nan,
18:00:57,nan,
18:00:58,HeartRate,54.55
18:00:59,nan,
18:01:00,nan,
18:01:01,nan,
18:01:02,nan,
18:01:03,nan,
18:01:04,nan,
18:01:05,nan,
18:01:06,nan,
18:01:07,nan,
18:01:08,nan,
18:01:09,nan,
18:01:10,nan,
18:01:11,nan,
18:01:12,nan,
18:01:13,nan,
18:01:14,nan,
18:01:15,nan,
18:01:16,nan,
18:01:17,nan,
18:01:18,nan,
18:01:19,nan,
18:01:20,nan,
18:01:21,nan,
18:01:22,nan,
18:01:23,HeartRate,45.87
18:01:24,nan,
18:01:25,nan,
18:01:26,nan,
18:01:27,nan,
18:01:28,nan,
18:01:29,nan,
18:01:30,nan,
18:01:31,nan,
18:01:32,nan,
18:01:33,SpO2,97.17
18:01:34,nan,
18:01:35,nan,
18:01:36,nan,
